,links,names,ratings,price for one,cuisine
37,https://www.zomato.com/visakhapatnam/ibaco-gajuwaka-vizag/order,ibaco,4.1,₹200 for one,Desserts
38,https://www.zomato.com/visakhapatnam/food-house-1-gajuwaka-vizag/order,Food House,4.3,₹200 for one,"North Indian, Chinese, Biryani, Fast Food"
39,https://www.zomato.com/visakhapatnam/new-santosh-restaurant-sriharipuram-vizag/order,New Santosh Restaurant,3.7,₹200 for one,"North Indian, Chinese, Mughlai, Seafood, Biryani"
40,https://www.zomato.com/visakhapatnam/sv-chocolate-factory-gajuwaka-vizag/order,SV Chocolate Factory,3.3,₹200 for one,"Burger, Rolls, Fast Food, Beverages"
41,https://www.zomato.com/visakhapatnam/mana-teluginti-ruchulu-gajuwaka-vizag/order,Mana Teluginti Ruchulu,3.3,₹200 for one,"North Indian, Mughlai, Biryani"
42,https://www.zomato.com/visakhapatnam/sharma-bhojanalay-1-sriharipuram-vizag/order,Sharma Bhojanalay,4.0,₹200 for one,"North Indian, Chinese"
43,https://www.zomato.com/visakhapatnam/sri-balaji-family-restaurant-gajuwaka-vizag/order,Sri Balaji Family Restaurant,3.6,₹200 for one,"Biryani, Chinese, North Indian, Mughlai, Sichuan"
44,https://www.zomato.com/visakhapatnam/night-foodii-gajuwaka-vizag/order,Night Foodii,4.3,₹200 for one,"North Indian, Chinese, Seafood, Street Food, Sandwich, Rolls"
45,https://www.zomato.com/visakhapatnam/moms-mazic-gajuwaka-vizag/order,Mom's Mazic,3.2,₹150 for one,"Sandwich, Burger, Pizza, Fast Food, Street Food"
46,https://www.zomato.com/visakhapatnam/invas-multicuisine-restaurant-gajuwaka-vizag/order,Invas Multicuisine Restaurant,4.3,₹150 for one,"Andhra, North Indian, Biryani, Desserts, Shake, Beverages"
47,https://www.zomato.com/visakhapatnam/barkaas-indo-arabic-restaurant-gajuwaka-vizag/order,Barkaas Indo - Arabic Restaurant,3.5,₹150 for one,"Arabian, Mandi, North Indian, Mughlai, Kebab, Shawarma, BBQ, Desserts"
48,https://www.zomato.com/visakhapatnam/am-2-pm-food-take-away-gajuwaka-vizag/order,Am 2 Pm Food Take Away,3.7,₹150 for one,"Biryani, Chinese, Sichuan"
49,https://www.zomato.com/visakhapatnam/the-cake-n-bake-1-gajuwaka-vizag/order,The Cake N Bake,3.0,₹150 for one,"Fast Food, North Indian, Mughlai, Biryani, Beverages"
50,https://www.zomato.com/visakhapatnam/arabian-spicers-gajuwaka-vizag/order,Arabian Spicers,3.7,₹150 for one,"Arabian, Andhra, Fast Food, Desserts, Beverages"
51,https://www.zomato.com/punjabi-food-truck-food-truck/order,Punjabi Food Truck,3.4,₹150 for one,"North Indian, Chinese"
52,https://www.zomato.com/visakhapatnam/military-house-gajuwaka-vizag/order,Military House,3.1,₹150 for one,Andhra
53,https://www.zomato.com/visakhapatnam/the-legendairy-milkshakes-gajuwaka-vizag/order,The Legendairy Milkshakes,4.4,₹150 for one,"Shake, Beverages"
54,https://www.zomato.com/visakhapatnam/food-nation-gajuwaka-vizag/order,Food Nation,4.1,₹150 for one,"Fast Food, Pizza, Burger, Sandwich"
55,https://www.zomato.com/visakhapatnam/wrap-it-2-gajuwaka-vizag/order,Wrap It,4.2,₹150 for one,Wraps
56,https://www.zomato.com/visakhapatnam/sri-sai-food-court-gajuwaka-vizag/order,Sri Sai Food Court,3.3,₹150 for one,"Biryani, North Indian, Chinese, Andhra, Desserts, Juices, Shake, Beverages"
57,https://www.zomato.com/visakhapatnam/brunch-supper-gajuwaka-vizag/order,Brunch & Supper,4.3,₹250 for one,"North Indian, Biryani, Chinese, Kebab, Mughlai, Rolls, Sichuan"
58,https://www.zomato.com/visakhapatnam/ashwini-vijayawada-tiffins-gajuwaka-vizag/order,Ashwini Vijayawada Tiffins,3.6,₹250 for one,"South Indian, Chinese"
