,links,names,ratings,price for one,cuisine
47,https://www.zomato.com/visakhapatnam/firangi-bake-gajuwaka-vizag/order,Firangi Bake,4.3,₹200 for one,"Italian, Mexican"
48,https://www.zomato.com/visakhapatnam/svs-food-island-shawrbq-1-pendurthi-vizag/order,SVS Food Island & ShawrbQ,4.0,₹200 for one,"Chinese, Biryani, Mughlai"
49,https://www.zomato.com/visakhapatnam/deccan-fried-chicken-pendurthi-vizag/order,Deccan Fried Chicken,4.1,₹200 for one,"Pizza, Burger, Sandwich, Fast Food, Desserts, Shake, Beverages"
50,https://www.zomato.com/visakhapatnam/just-bake-1-vepagunta-vizag/order,Just Bake,3.7,₹200 for one,Bakery
51,https://www.zomato.com/visakhapatnam/a-square-food-point-nad-junction-vizag/order,A Square Food Point,3.4,₹200 for one,"North Indian, Seafood, Biryani, Chinese"
52,https://www.zomato.com/visakhapatnam/the-biryani-life-gajuwaka-vizag/order,The Biryani Life,3.3,₹200 for one,"Biryani, Kebab, North Indian"
53,https://www.zomato.com/visakhapatnam/vip-kitchen-nad-junction-vizag/order,VIP Kitchen,3.6,₹200 for one,"Chinese, South Indian, North Indian, Kebab, Biryani, Seafood"
54,https://www.zomato.com/visakhapatnam/yummy-chinese-hut-nad-junction-vizag/order,Yummy Chinese Hut,3.7,₹200 for one,"North Indian, Chinese, Biryani, Sichuan"
55,https://www.zomato.com/visakhapatnam/veg-daawat-by-behrouz-gajuwaka-vizag/order,Veg Daawat By Behrouz,3.5,₹200 for one,"Biryani, Mughlai, North Indian"
56,https://www.zomato.com/visakhapatnam/vrs-guntur-tiffins-marripalem-vizag/order,VRS Guntur Tiffins,4.3,₹200 for one,South Indian
57,https://www.zomato.com/visakhapatnam/cheesecakes-by-cakezone-nad-junction-vizag/order,Cheesecakes by CakeZone,4.0,₹300 for one,"Bakery, Desserts"
58,https://www.zomato.com/visakhapatnam/sweet-truth-cake-and-desserts-gajuwaka-vizag/order,Sweet Truth - Cake and Desserts,4.0,₹300 for one,"Desserts, Bakery, Ice Cream"
59,https://www.zomato.com/visakhapatnam/belgian-waffle-factory-nad-junction-vizag/order,Belgian Waffle Factory,3.7,₹300 for one,Desserts
60,https://www.zomato.com/visakhapatnam/the-dessert-zone-madhavadhara-vizag/order,The Dessert Zone,3.9,₹300 for one,"Desserts, Ice Cream, Bakery, Shake, Beverages"
61,https://www.zomato.com/visakhapatnam/faasos-signature-wraps-and-rolls-gajuwaka-vizag/order,Faasos Signature Wraps and Rolls,4.3,₹300 for one,"Rolls, Wraps, Fast Food"
62,https://www.zomato.com/visakhapatnam/star-mehfil-madhavadhara-vizag/order,Star Mehfil,New,₹300 for one,"Biryani, North Indian, Mughlai, Seafood, Chinese, Kebab, Sichuan, Desserts"
63,https://www.zomato.com/visakhapatnam/the-healthy-grub-marripalem-vizag/order,The Healthy Grub,3.8,₹300 for one,South Indian
64,https://www.zomato.com/visakhapatnam/kaati-zone-rolls-and-wraps-madhavadhara-vizag/order,Kaati Zone Rolls and Wraps,3.9,₹300 for one,"Rolls, Wraps, Fast Food, Desserts, Shake"
65,https://www.zomato.com/visakhapatnam/indiana-burgers-madhavadhara-vizag/order,Indiana Burgers,4.2,₹300 for one,"Burger, Fast Food, Rolls, Beverages, Desserts, Shake"
66,https://www.zomato.com/visakhapatnam/slurpy-shakes-madhavadhara-vizag/order,Slurpy Shakes,3.4,₹300 for one,"Shake, Ice Cream, Desserts, Fast Food"
67,https://www.zomato.com/visakhapatnam/momo-zone-the-momo-company-madhavadhara-vizag/order,Momo Zone - The Momo Company,-,₹300 for one,"Momos, Tibetan, Chinese"
68,https://www.zomato.com/visakhapatnam/burger-it-up-madhavadhara-vizag/order,Burger It Up,4.0,₹300 for one,"Burger, American, Fast Food, Desserts, Shake, Beverages"
69,https://www.zomato.com/visakhapatnam/snow-berg-marripalem-vizag/order,Snow Berg,3.2,₹200 for one,"Desserts, Fast Food, Street Food, Beverages"
70,https://www.zomato.com/visakhapatnam/flamin-burgers-gopalapatnam-vizag/order,Flamin Burgers,3.8,₹200 for one,"Bakery, Beverages"
71,https://www.zomato.com/visakhapatnam/hyderabad-nawabi-biryani-3-prahaladapuram-vizag/order,Hyderabad Nawabi Biryani,New,₹200 for one,"Biryani, North Indian"
72,https://www.zomato.com/visakhapatnam/cupcake-bliss-cakes-desserts-madhavadhara-vizag/order,Cupcake Bliss Cakes & Desserts,3.8,₹200 for one,"Bakery, Desserts, Ice Cream, Shake"
73,https://www.zomato.com/visakhapatnam/kouzina-kafe-the-food-court-madhavadhara-vizag/order,Kouzina Kafe - The Food Court,4.0,₹200 for one,"Fast Food, Burger, Momos, Rolls, Desserts, Bakery, Shake"
74,https://www.zomato.com/visakhapatnam/warmoven-cake-desserts-madhavadhara-vizag/order,WarmOven Cake & Desserts,4.3,₹200 for one,"Bakery, Desserts, Ice Cream, Shake, Beverages"
75,https://www.zomato.com/visakhapatnam/sundae-everyday-ice-creams-madhavadhara-vizag/order,Sundae Everyday Ice Creams,4.0,₹200 for one,"Ice Cream, Desserts, Shake"
76,https://www.zomato.com/visakhapatnam/hungry-rooster-1-gopalapatnam-vizag/order,Hungry Rooster,New,₹200 for one,"North Indian, Chinese, Bihari, Biryani, Fast Food"
